id,direction,entry_price,exit_price,position_size,pnl,pnl_pct,duration_sec,exit_reason,confidence,source
trade_0,SHORT,2091.346254426535,2096.133910118952,0.02390804482718737,-0.11446348691144556,-5.473196352310031e-05,1200.0,stop_loss,0.6,ema_crossover
trade_1,LONG,2035.9375463148867,2055.3348215669735,0.024558429001452445,0.4763666071000025,0.00023397898818764925,2100.0,take_profit,0.6,ema_crossover
trade_2,SHORT,2042.6497559077457,2051.700265093356,0.024478895303017983,-0.2215464667935566,-0.00010846033009467265,600.0,stop_loss,0.6,ema_crossover
trade_3,LONG,2078.489232458929,2098.7678428131694,0.024056271739312456,0.48782776117723986,0.0002347030494837453,2400.0,take_profit,0.6,ema_crossover
trade_4,SHORT,2076.2332079326616,2059.8774603575894,0.024083585953170353,0.39390505255260894,0.0001897210058328787,900.0,take_profit,0.6,ema_crossover
trade_5,LONG,2062.917845555584,2056.4883127843646,0.024239991211995302,-0.15585181787159233,-7.554921210622346e-05,600.0,stop_loss,0.6,ema_crossover
trade_6,SHORT,2135.485540948717,2115.9534653475766,0.023415907169304084,0.45736126910012703,0.00021417202801426527,900.0,take_profit,0.6,ema_crossover
trade_7,LONG,2129.4128405489528,2124.654677857121,0.023483759016734537,-0.11173954601739457,-5.247434592748517e-05,300.0,stop_loss,0.6,ema_crossover
trade_8,SHORT,2108.4690550482337,2113.45163750918,0.023716762253225356,-0.1181707236333493,-5.604574719767277e-05,1500.0,stop_loss,0.6,ema_crossover
trade_9,LONG,2134.6222532418697,2129.1226546794933,0.02342590983828627,-0.12883310006899779,-6.0354050874030674e-05,600.0,stop_loss,0.6,ema_crossover
trade_10,SHORT,2121.5444215752646,2129.0334570720165,0.023570010492928624,-0.1765166452403588,-8.320195582296302e-05,300.0,stop_loss,0.6,ema_crossover
trade_11,LONG,2017.3162135621121,2013.2007601943967,0.02478735924410265,-0.10201122107791415,-5.056778922020659e-05,600.0,stop_loss,0.6,ema_crossover
trade_12,SHORT,2032.5065174033261,2039.6990422415975,0.024601855497267767,-0.17694945673166002,-8.705972414677701e-05,300.0,stop_loss,0.6,ema_crossover
